dataset,delta_nmi_g15_minus_g17,delta_ari_g15_minus_g17,delta_acc_g15_minus_g17,delta_si_loss_g15_minus_g17,delta_modularity_g15_minus_g17,delta_conductance_g15_minus_g17,delta_seconds_g15_minus_g17,delta_nmi_std_g15_minus_g17,delta_ari_std_g15_minus_g17
urban_sydney_plot,0.0029776428240574013,0.0005396410848758,0.0011156563778355992,0.0821100870768241,0.0014401674270630004,-0.0012145638465882458,4.831447680791214,0.0009223923659708001,0.00023543330385069998
urban_boston_plot,0.0008877688535692055,-2.8821333195999926e-06,0.0,0.03855578104655066,0.0006715015818675001,-0.0005832314491271973,0.3010455767313651,0.0008760188235371999,-1.2469262780500002e-05
urban_melbourne_plot,0.0008650076462410998,0.00013053785286240007,0.000833854492390998,0.062013626098631036,0.0007981670399506997,-0.0006937185923260314,3.76908747355143,0.0008480425242890003,0.0001200090275831
urban_chicago_plot,0.00041527380752959947,0.0001357892523098,0.0007210130232977001,0.05662059783935547,0.000635425249735499,-0.0004942019780476148,0.8295768896738736,0.0002503277014045001,-4.8155647313200006e-05
urban_bangkok_plot,0.0003484785494546998,4.42087782255e-05,0.0011828195460930023,0.068359375,0.0007662146041790994,-0.000686645507812611,-3.859874645868942,-0.00011081345718370016,9.771456364999988e-06
urban_singapore_plot,0.0003435972273124997,0.00011975445879980001,0.001705029838022197,0.06415557861328125,0.0009335776170095,-0.0008010466893514367,1.0807944138844832,-0.00010636867504579999,7.666499855839997e-05
urban_johannesburg_plot,0.0003237055456859969,0.00012862979083379993,0.00012722646310429908,0.09099992116292377,0.0010256413370371004,-0.0008807778358459473,0.3815312385559082,-0.00015522145484800007,-8.27041757069e-05
urban_beijing_plot,0.00021554459572859994,1.2600366048500032e-05,4.0874718986297354e-05,0.047537485758464726,0.0004031397402285992,-0.00035234292348240714,9.769774039586366,0.0002013475546043999,2.3434373784000028e-05
urban_washingtondc_plot,7.156127302160309e-05,9.425061283749997e-05,0.0007645259938837967,0.0555915832519549,0.0007436970869699995,-0.0006609161694843824,0.060321331024173475,0.0010753277604491,8.454283108880005e-05
urban_tokyo_plot,4.427421544979989e-05,8.732114447000227e-07,-0.0001481780831143996,0.05614471435546875,0.00016164469222230016,-0.000129242738088009,0.5014495054880683,-5.886130500300002e-05,-3.520195374737527e-06
urban_madrid_plot,3.4919338786401286e-05,2.34315917359e-05,0.00034162551632030413,0.06397883097331025,0.0006431986888248992,-0.0005596280097959205,1.1366033554077148,0.00035500067284920003,-9.873409744400009e-06
urban_paris_plot,1.8317061824698472e-05,4.476559095730002e-05,0.0004730049327658012,0.04876899719238459,0.00011423851052919966,-8.32875569659608e-05,0.4392715295155831,0.0003394378683604,6.0557750165500014e-05
urban_shanghai_plot,-6.698628501210051e-05,1.544765557190002e-05,-0.0005642761875449022,0.03162002563476385,7.049428919950022e-05,-7.55985577903795e-05,-2.116997162501022,-0.00016973424732699997,-3.187098011860003e-05
