dataset,nmi_60,nmi_100,delta_nmi_100_minus_60,ari_60,ari_100,delta_ari_100_minus_60,sec_60,sec_100,delta_sec_100_minus_60,winner_by_nmi
urban_bangkok_plot,0.018649031990474102,0.01861598760929797,-3.304438117613176e-05,0.00019662017573968352,0.00017276391199068063,-2.3856263749002886e-05,0.0,0.0,0.0,60
urban_beijing_plot,0.015668860217622423,0.01565878085731861,-1.0079360303814205e-05,0.0006297339511757596,0.0005970143882517999,-3.271956292395968e-05,0.0,0.0,0.0,60
urban_boston_plot,0.051018061999177855,0.05039385520158842,-0.0006242067975894341,-0.0004037167871066497,-0.0004583892491259028,-5.467246201925312e-05,0.0,0.0,0.0,60
urban_chicago_plot,0.012392598804714066,0.01253846812330347,0.00014586931858940472,0.0005392019441769547,0.0005243817816929264,-1.4820162484028318e-05,0.0,0.0,0.0,100
urban_johannesburg_plot,0.033778773452232846,0.03368326518043794,-9.550827179490712e-05,0.0008270517875327256,0.0008083210607673943,-1.8730726765331298e-05,0.0,0.0,0.0,60
urban_madrid_plot,0.009143359792581343,0.009181113577633673,3.775378505233018e-05,0.00044799434735134203,0.00045352939894986066,5.535051598518624e-06,112.15310454368591,74.19877290725708,-37.95433163642883,100
urban_melbourne_plot,0.02343010914438017,0.022858963692185676,-0.0005711454521944923,0.0007102420542076108,0.0006488077681797997,-6.14342860278111e-05,48.59514832496643,49.937077045440674,1.3419287204742432,60
urban_paris_plot,0.01582283120025855,0.015757043119710497,-6.578808054805152e-05,0.00030095625956858024,0.0002881771920455752,-1.2779067523005017e-05,20.547126054763794,18.14469838142395,-2.4024276733398438,60
urban_shanghai_plot,0.015799660355571312,0.015610691070546882,-0.00018896928502443004,0.0008597613379013124,0.0008254807108918925,-3.428062700941989e-05,105.74949717521667,104.39726114273071,-1.352236032485962,60
urban_singapore_plot,0.027377370064821552,0.02748939629300418,0.00011202622818262675,0.00023480744222391216,0.0002615014708750813,2.669402865116915e-05,46.96347951889038,46.18385148048401,-0.7796280384063721,100
urban_sydney_plot,0.019249555968217633,0.019332643894213863,8.308792599623013e-05,0.0017049930317865611,0.0017005164609420042,-4.4765708445569565e-06,71.52267146110535,73.03585600852966,1.5131845474243164,100
urban_tokyo_plot,0.004586060439468764,0.004522080188125151,-6.398025134361253e-05,0.00020908788308694772,0.00020801308385392888,-1.0747992330188477e-06,136.4012234210968,129.81166195869446,-6.589561462402344,60
urban_washingtondc_plot,0.036428285955535974,0.03715897856441335,0.0007306926088773771,0.0005217366085687902,0.0006431506410799978,0.00012141403251120762,28.397956609725952,28.403034210205078,0.0050776004791259766,100
