dataset,best_condition_by_nmi,nmi_mean,ari_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
urban_bangkok_plot,G15_noadapt_hetero,0.0024534767360824775,4.103026590910785e-06,,
urban_beijing_plot,G17_temp1p5_mainline,0.0012417711554939743,4.603116984448474e-07,,
urban_boston_plot,G17_temp1p5_mainline,0.011481838211893698,-1.916718280734351e-06,,
urban_chicago_plot,G15_default_hetero,0.0019911745774516694,-2.8918143781374165e-06,,
urban_johannesburg_plot,G15_default_hetero,0.0024242739353999257,-3.8223786767936506e-07,,
urban_madrid_plot,G15_noadapt_hetero,0.0025002904160425616,-6.968283276356974e-06,,
urban_melbourne_plot,G15_default_hetero,0.0035277553539421083,1.0411255607030277e-05,,
urban_paris_plot,G15_default_hetero,0.011218010921910925,1.9749799925372496e-05,,
urban_shanghai_plot,G15_noadapt_hetero,0.0016253010850093106,-2.1583082217259693e-06,,
urban_singapore_plot,G15_noadapt_hetero,0.004078535306254765,-9.68769075470392e-06,,
urban_sydney_plot,G15_noadapt_hetero,0.0022541627686136056,-1.6861197158646744e-06,,
urban_tokyo_plot,G15_default_hetero,0.0011708982696014038,5.218457903540435e-06,,
urban_washingtondc_plot,G17_temp1p5_mainline,0.0068513061983914506,1.5760407113401687e-05,,
