condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
BASE_B0_V1,citeseer,3,0.10867300014515457,0.017724022438133567,0.1106257469629925,0.011279247029953867,11.13525676727295,0.10867300014515457,0.1106257469629925,0.0,0.0
BASE_B0_V1,computers,3,0.003244770034648856,0.0002565973494898363,-0.0003237742455448337,0.0006743662409113757,47.15424656867981,0.003244770034648856,-0.0003237742455448337,0.0,0.0
BASE_B0_V1,cora,3,0.41598637718922005,0.029935420472311527,0.3200841965169604,0.03268964099478857,10.50209093093872,0.41598637718922005,0.3200841965169604,0.0,0.0
BASE_B0_V1,photo,3,0.08057598248475371,0.060913194535094785,0.02983519683903964,0.023510902770606315,22.368372201919556,0.08057598248475371,0.02983519683903964,0.0,0.0
BASE_B0_V1,pubmed,3,0.2164206604034106,0.011163303497835654,0.16997420201492872,0.02226703757093784,74.23354887962341,0.2164206604034106,0.16997420201492872,0.0,0.0
G15_default,citeseer,3,0.2910772642417525,0.06406222571378975,0.2966004029994782,0.05363361165332066,12.947461366653442,0.10867300014515457,0.1106257469629925,0.18240426409659793,0.18597465603648572
G15_default,computers,3,0.0028426489956573007,0.0007614444479932988,0.0005465414582095475,0.0006588964841098326,50.32920662562052,0.003244770034648856,-0.0003237742455448337,-0.0004021210389915553,0.0008703157037543811
G15_default,cora,3,0.4280085751297355,0.05428916796199355,0.3340422519111328,0.05559355936056479,11.846645832061768,0.41598637718922005,0.3200841965169604,0.012022197940515456,0.013958055394172386
G15_default,photo,3,0.15356656685255712,0.1578128775293286,0.07833582397704776,0.09501332236398685,24.49553855260213,0.08057598248475371,0.02983519683903964,0.07299058436780341,0.04850062713800812
G15_default,pubmed,3,0.222415263938436,0.026871294927999313,0.17508062613158168,0.037717981302931455,77.52297163009644,0.2164206604034106,0.16997420201492872,0.0059946035350254,0.005106424116652963
G15_noadapt,citeseer,3,0.2978384458345229,0.05389175369043691,0.29903498695107616,0.0662299735060531,13.051493724187216,0.10867300014515457,0.1106257469629925,0.18916544568936833,0.18840923998808368
G15_noadapt,computers,3,0.003980700193964965,0.0008767445595072603,0.0015624237045069817,0.0015310158362325818,50.41087532043457,0.003244770034648856,-0.0003237742455448337,0.000735930159316109,0.0018861979500518155
G15_noadapt,cora,3,0.4379868174255737,0.06525480057155936,0.3613354369229331,0.07297914458674315,12.112186113993326,0.41598637718922005,0.3200841965169604,0.02200044023635367,0.04125124040597267
G15_noadapt,photo,3,0.061912283712778494,0.08059683621720257,0.023954405995446907,0.0356280628949104,24.5810124874115,0.08057598248475371,0.02983519683903964,-0.01866369877197522,-0.005880790843592734
G15_noadapt,pubmed,3,0.22456772343891382,0.023188651179585348,0.1781854431710843,0.034278314237801005,77.05212903022766,0.2164206604034106,0.16997420201492872,0.008147063035503221,0.008211241156155596
G17_temp1p5,citeseer,3,0.29836346525214746,0.04559436623004554,0.28166394558605795,0.052146621539389745,12.050334612528482,0.10867300014515457,0.1106257469629925,0.1896904651069929,0.17103819862306546
G17_temp1p5,computers,3,0.0017401108540902235,0.0002146137763703462,7.153948892679817e-05,0.00013730649604906924,47.951725006103516,0.003244770034648856,-0.0003237742455448337,-0.0015046591805586325,0.00039531373447163184
G17_temp1p5,cora,3,0.45405535060210767,0.03720770896779875,0.36859251737661874,0.03666803058722693,10.633137226104736,0.41598637718922005,0.3200841965169604,0.03806897341288762,0.04850832085965834
G17_temp1p5,photo,3,0.15677238190662446,0.14419598540305384,0.0977665181914062,0.11085252902628925,22.684947808583576,0.08057598248475371,0.02983519683903964,0.07619639942187074,0.06793132135236656
G17_temp1p5,pubmed,3,0.23740018752555347,0.02387520675413269,0.18746671453490968,0.023963035097883247,74.0510760943095,0.2164206604034106,0.16997420201492872,0.020979527122142877,0.017492512519980963
