dataset,n_runs,delta_nmi_g15_minus_g17,delta_ari_g15_minus_g17,delta_acc_g15_minus_g17,delta_si_loss_g15_minus_g17,delta_modularity_g15_minus_g17,delta_conductance_g15_minus_g17,delta_runtime_sec_g15_minus_g17
urban_bangkok_plot,2,0.000200638094809,9.02423391703e-05,0.000776225327124,0.0684452056885,0.000817835330963,-0.00074964761734,0
urban_beijing_plot,2,0.000391277864294,6.66944048185e-05,6.13120784795e-05,0.0474872589111,0.000418175943196,-0.000347793102264,144.425466657
urban_boston_plot,2,0.000709267806175,6.48750994519e-06,0,0.0383648872375,0.000280261039734,-0.000170946121216,0.949229836464
urban_chicago_plot,2,0.000639733149049,0.000167896228368,0.000946329593078,0.056688785553,0.000500722788274,-0.000405013561249,3.08132767677
urban_johannesburg_plot,2,0.000993742099732,0.000139344392051,0.000381679389313,0.0907187461853,0.00126214232296,-0.00112706422806,2.41069471836
urban_madrid_plot,2,8.96566283971e-05,-1.2462840832e-05,-0.00013975589304,0.0640506744385,0.000451325438917,-0.000413566827774,-1.90852487087
urban_melbourne_plot,2,0.000475411949028,0.000135834199255,0.00145924536168,0.0624108314514,0.000580629333854,-0.000509530305862,4.89677286148
urban_paris_plot,2,0.000110659687907,1.51419534364e-05,0,0.0494823455811,8.58688727021e-05,-0.000112146139145,0.637003421783
urban_shanghai_plot,2,2.04587288996e-05,5.37233538495e-06,-0.000538627269929,0.0315570831299,8.61138105392e-05,-9.32812690735e-05,2.96538794041
urban_singapore_plot,2,-0.000122015859744,1.30813386502e-05,0.000959079283887,0.0643119812012,0.000941704027355,-0.000817656517029,-0.773055315018
urban_sydney_plot,2,0.00218759109093,0.000490297850726,0.00167348456675,0.0809426307678,0.00200491864234,-0.00176849961281,4.49941170216
urban_tokyo_plot,2,-0.000151978197989,-1.118320504e-05,-0.0004243281471,0.0558938980103,0.000258062966168,-0.000203281641006,2.81312930584
urban_washingtondc_plot,2,0.000251194950769,8.61247372417e-05,0.000382262996942,0.0558099746704,0.000664125196636,-0.000499546527863,-0.616914749146
